device_id,browser_type,browser_version_major,browser_version_minor,browser_version_patch,device_type,device_version_major,device_version_minor,device_version_patch,os_type,os_version_major,os_version_minor,os_version_patch
17998101434455462000,Chrome,88,0,4324,Other,0,0,0,Mac OS X,10,15,2
5825288835786033000,LightspeedSystemsCrawler,0,0,0,Other,0,0,0,Windows,0,0,0
9938831916951818000,WhatsApp,2,21,2,Spider,0,0,0,Other,0,0,0
7034882958428271000,Chrome,88,0,4324,Other,0,0,0,Mac OS X,10,15,3
12520090408135657000,Spark,2,9,15,iOS-Device,0,0,0,Other,0,0,0
7931519881181380000,Chrome,89,0,4389,Other,0,0,0,Linux,0,0,0
3188938512314867700,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,14,6
15834729206740742000,Opera,74,0,3911,Other,0,0,0,Windows,10,0,0
3561594668579703300,Firefox,86,0,0,Other,0,0,0,Mac OS X,10,16,0
695489128007616500,Chrome,88,0,4324,Other,0,0,0,Mac OS X,10,15,4
16812562716557718000,Firefox,86,0,0,Other,0,0,0,Mac OS X,10,15,0
13665075073886261000,Safari,14,0,3,Other,0,0,0,Mac OS X,10,15,7
3733930867706110000,Firefox Mobile,86,0,0,Generic Smartphone,0,0,0,Android,0,0,0
5164031660194933000,Chrome,87,0,4280,Other,0,0,0,Mac OS X,10,14,3
3892785453518225400,Chrome,88,0,4324,Other,0,0,0,Mac OS X,11,0,1
5213655647238109000,Samsung Internet,13,2,0,Samsung SM-A715F,0,0,0,Android,0,0,0
8043439161618443000,Chrome,29,0,1547,Other,0,0,0,Chrome OS,4319,74,0
7853401422208605000,Chrome,27,0,1500,Other,0,0,0,Windows,8,0,0
6350028571947689000,Firefox,55,0,0,Other,0,0,0,Ubuntu,0,0,0
3568284983945346600,Firefox,40,0,0,Other,0,0,0,Windows,10,0,0
5524622151444566000,Chrome Mobile iOS,87,0,4280,iPhone,0,0,0,iOS,14,4,0
6796903265230109000,Chrome Mobile,89,0,4389,Generic Smartphone,0,0,0,Android,8,1,0
18084875292253581000,curl,7,79,1,Other,0,0,0,Other,0,0,0
3738021530051238400,Chrome,88,0,4324,Other,0,0,0,Mac OS X,10,14,5
675453770951153700,Chrome,90,0,4430,Other,0,0,0,Windows,10,0,0
15974366629893798000,Safari,14,0,2,Other,0,0,0,Mac OS X,10,15,6
5895613425220678000,Spark,770,0,0,iOS-Device,0,0,0,Other,0,0,0
4801989166216525000,Safari,14,0,3,Other,0,0,0,Mac OS X,10,15,6
5647358025447788000,Mobile Safari,14,0,3,iPhone,0,0,0,iOS,14,4,1
9778299727800480000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,11,2,3
